Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
SearchIndexer.exe	7188	Microsoft Windows Search Indexer	Microsoft Corporation	1.2  GB	6.4  MB	19.1  MB
SearchHost.exe	5644		Microsoft Corporation	6.4  MB	2.2  MB	422.0  KB
RuntimeBroker.exe	5780	Runtime Broker	Microsoft Corporation	1.1  MB	20.1  KB	246.2  KB
RuntimeBroker.exe	5872	Runtime Broker	Microsoft Corporation	798.6  KB	8 B	125.4  KB
RuntimeBroker.exe	9148	Runtime Broker	Microsoft Corporation	8.3  KB		3.0  KB
RuntimeBroker.exe	10968	Runtime Broker	Microsoft Corporation	124.8  KB		29.1  KB
RuntimeBroker.exe	13864	Runtime Broker	Microsoft Corporation	18.6  KB		4.6  KB
RuntimeBroker.exe	8152	Runtime Broker	Microsoft Corporation	7.4  KB		8.3  KB
RuntimeBroker.exe	15300	Runtime Broker	Microsoft Corporation	12.9  KB		1.3  KB
Registry	104			652.0  KB	253.8  MB	3.3  KB
procexp64.exe	13180	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	288.3  MB	296.3  KB	5.8  MB
PhoneExperienceHost.exe	7308	Microsoft Phone Link	Microsoft Corporation	1.7  MB	186 B	191.4  KB
NisSrv.exe	8156			7.8  KB		128.6  KB
MsMpEng.exe	3336			5.8  GB	1.6  GB	717.8  MB
msedgewebview2.exe	6420	Microsoft Edge WebView2	Microsoft Corporation	63.3  MB	49.3  MB	731.3  KB
msedgewebview2.exe	6488	Microsoft Edge WebView2	Microsoft Corporation	5.7  KB	72 B	12.0  KB
msedgewebview2.exe	6988	Microsoft Edge WebView2	Microsoft Corporation	996.9  KB	1.6  MB	25.8  KB
msedgewebview2.exe	7028	Microsoft Edge WebView2	Microsoft Corporation	2.8  MB	5.6  MB	326.8  KB
msedgewebview2.exe	7100	Microsoft Edge WebView2	Microsoft Corporation	1.6  MB	2.6  MB	9.0  KB
msedgewebview2.exe	5396	Microsoft Edge WebView2	Microsoft Corporation	11.5  MB	15.5  MB	11.7  KB
msedgewebview2.exe	9704	Microsoft Edge WebView2	Microsoft Corporation	49.5  MB	22.2  MB	1.0  MB
msedgewebview2.exe	6824	Microsoft Edge WebView2	Microsoft Corporation	12.1  KB	6.1  MB	53.9  KB
msedgewebview2.exe	8320	Microsoft Edge WebView2	Microsoft Corporation	17.0  MB	37.8  MB	459.4  KB
msedgewebview2.exe	6168	Microsoft Edge WebView2	Microsoft Corporation	28.0  MB	2.7  MB	26.6  KB
msedgewebview2.exe	9800	Microsoft Edge WebView2	Microsoft Corporation	31.7  MB	44.4  MB	8.9  KB
msedgewebview2.exe	5800	Microsoft Edge WebView2	Microsoft Corporation	31.1  KB	242.1  KB	13.1  KB
msedgewebview2.exe	2000	Microsoft Edge WebView2	Microsoft Corporation	29.6  MB	31.2  MB	12.0  KB
msedge.exe	11916	Microsoft Edge	Microsoft Corporation	29.8  MB	25.7  MB	956.0  KB
msedge.exe	13744	Microsoft Edge	Microsoft Corporation	6.9  KB	252 B	3.3  KB
msedge.exe	12512	Microsoft Edge	Microsoft Corporation	46.0  KB	338.9  KB	21.5  KB
msedge.exe	13880	Microsoft Edge	Microsoft Corporation	3.5  MB	3.1  MB	72.6  KB
msedge.exe	9044	Microsoft Edge	Microsoft Corporation	177.3  KB	260.5  KB	8.2  KB
msedge.exe	5308	Microsoft Edge	Microsoft Corporation	2.1  MB	4.9  MB	10.7  KB
msedge.exe	13748	Microsoft Edge	Microsoft Corporation	81.1  KB	452.1  KB	11.1  KB
MpDefenderCoreService.exe	2832			16.2  MB	175.7  KB	892.5  KB
Memory Compression	2044					
lsass.exe	816			1.5  MB	881.8  KB	26.9  MB
Interrupts	n/a	Hardware Interrupts and DPCs				
HxTsr.exe	8228	Microsoft Outlook Communications	Microsoft Corporation	419.5  KB	64.1  KB	12.5  KB
fontdrvhost.exe	936	Usermode Font Driver Host	Microsoft Corporation			2.2  KB
fontdrvhost.exe	944	Usermode Font Driver Host	Microsoft Corporation			460 B
explorer.exe	5020	Windows Explorer	Microsoft Corporation	54.6  MB	40.0  MB	12.2  MB
dwm.exe	464	Desktop Window Manager	Microsoft Corporation	17.0  MB		279.3  KB
dllhost.exe	5996	COM Surrogate	Microsoft Corporation	3.0  MB	38.4  MB	216.9  KB
dllhost.exe	8652	COM Surrogate	Microsoft Corporation	2.6  KB		9.2  KB
ctfmon.exe	6648	CTF Loader	Microsoft Corporation	17.2  KB		241.3  KB
csrss.exe	604			324.7  KB		990.1  KB
csrss.exe	684			571.3  KB		196.7  KB
CrossDeviceService.exe	9056	Microsoft Cross Device Service	Microsoft Corporation	1.5  MB		981.1  KB
backgroundTaskHost.exe	2336	Background Task Host	Microsoft Corporation			183.3  KB
backgroundTaskHost.exe	1736	Background Task Host	Microsoft Corporation			183.2  KB
backgroundTaskHost.exe	2772	Background Task Host	Microsoft Corporation			183.2  KB
backgroundTaskHost.exe	11716	Background Task Host	Microsoft Corporation			183.2  KB
backgroundTaskHost.exe	11476	Background Task Host	Microsoft Corporation			183.2  KB
backgroundTaskHost.exe	6440	Background Task Host	Microsoft Corporation			7.5  KB
backgroundTaskHost.exe	11884	Background Task Host	Microsoft Corporation	60.7  KB		9.4  KB
AggregatorHost.exe	4464	Microsoft (R) Aggregator Host	Microsoft Corporation	54.2  MB	59.3  KB	26.1  KB

