Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
svchost.exe		5,840 K	28,120 K	13388	Host Process for Windows Services	Microsoft Corporation
System	1.46	40 K	168 K	4		
System Idle Process	73.03	60 K	8 K	0		
SystemSettings.exe	Suspended	54,712 K	84,692 K	8052		
SystemSettingsBroker.exe	Suspended	2,236 K	15,364 K	2612		
taskhostw.exe		5,612 K	20,276 K	3484		
taskhostw.exe		2,556 K	14,880 K	6912	Host Process for Windows Tasks	Microsoft Corporation
Telegram.exe	< 0.01	245,548 K	88,072 K	6948		
Telegram.exe	< 0.01	250,116 K	88,528 K	8924	Telegram Desktop	Telegram FZ-LLC
TextInputHost.exe		20,160 K	67,304 K	892		
UserOOBEBroker.exe		1,688 K	10,768 K	7452		
UserOOBEBroker.exe		1,728 K	11,024 K	8280	User OOBE Broker	Microsoft Corporation
VBoxService.exe	< 0.01	3,324 K	8,840 K	1772	VirtualBox Guest Additions Service	Oracle and/or its affiliates
VBoxTray.exe	< 0.01	2,916 K	14,364 K	4708		
VBoxTray.exe	< 0.01	3,064 K	15,108 K	1952	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates
WhatsApp.exe	Suspended	52,048 K	55,196 K	13072		
WhatsApp.exe	< 0.01	221,304 K	280,520 K	15156		
Widgets.exe		11,616 K	57,416 K	6656		
Widgets.exe		10,428 K	63,200 K	12476		Microsoft Corporation
WidgetService.exe		4,960 K	26,124 K	7836		
wininit.exe	< 0.01	1,472 K	9,064 K	668		
winlogon.exe	< 0.01	2,592 K	15,068 K	732		
winlogon.exe		2,512 K	15,000 K	9376		
WWAHost.exe	Suspended	92,296 K	88,080 K	7884	Microsoft WWA Host	Microsoft Corporation

